real_map_size: 7273
loging--time, explored-paths, covered-blocks, crashes
[03-22 15:50], 25            , 86            , 0
[03-22 16:20], 25            , 86            , 0
[03-22 16:50], 25            , 86            , 0
[03-22 17:20], 25            , 86            , 0
[03-22 17:50], 25            , 86            , 0
[03-22 18:20], 25            , 86            , 0
[03-22 18:50], 25            , 86            , 0
[03-22 19:20], 25            , 86            , 0
[03-22 19:50], 25            , 86            , 0
[03-22 20:20], 25            , 86            , 0
[03-22 20:50], 25            , 86            , 0
[03-22 21:20], 25            , 86            , 0
[03-22 21:50], 25            , 86            , 0
[03-22 22:20], 25            , 86            , 0
[03-22 22:50], 25            , 86            , 0
[03-22 23:20], 25            , 86            , 0
[03-22 23:50], 25            , 86            , 0
[03-23 00:20], 25            , 86            , 0
[03-23 00:50], 25            , 86            , 0
[03-23 01:20], 25            , 86            , 0
[03-23 01:50], 25            , 86            , 0
[03-23 02:20], 25            , 86            , 0
[03-23 02:50], 25            , 86            , 0
[03-23 03:20], 25            , 86            , 0
[03-23 03:50], 25            , 86            , 0
[03-23 04:20], 25            , 86            , 0
[03-23 04:50], 25            , 86            , 0
[03-23 05:20], 25            , 86            , 0
[03-23 05:50], 25            , 86            , 0
[03-23 06:20], 25            , 86            , 0
[03-23 06:50], 25            , 86            , 0
[03-23 07:20], 25            , 86            , 0
[03-23 07:50], 25            , 86            , 0
[03-23 08:20], 25            , 86            , 0
[03-23 08:50], 25            , 86            , 0
[03-23 09:20], 25            , 86            , 0
[03-23 09:50], 25            , 86            , 0
[03-23 10:20], 25            , 86            , 0
[03-23 10:50], 25            , 86            , 0
[03-23 11:20], 25            , 86            , 0
[03-23 11:50], 25            , 86            , 0
[03-23 12:20], 25            , 86            , 0
[03-23 12:50], 25            , 86            , 0
[03-23 13:20], 25            , 86            , 0
[03-23 13:50], 25            , 86            , 0
[03-23 14:20], 25            , 86            , 0
[03-23 14:50], 25            , 86            , 0
[03-23 15:20], 25            , 86            , 0
